date,close,high,low,open,volume,symbol
2023-05-25,916.6513061523438,948.2219880191009,906.4471056034342,947.0722098828633,1620350,TATACHEM
2023-05-26,929.634033203125,931.5503105196993,915.0224186642457,919.8131119556815,702059,TATACHEM
2023-05-29,931.1670532226562,934.999607944536,927.1429175487978,931.5982273248966,456813,TATACHEM
2023-05-30,928.5321655273438,934.1852070956725,923.1666123453132,933.6103472833634,477951,TATACHEM
2023-05-31,929.9693603515625,931.7898471983001,923.6456685852559,930.3526392077629,710320,TATACHEM
2023-06-01,928.3884887695312,936.0057029968923,925.7057121526381,931.310800057221,414830,TATACHEM
2023-06-02,929.2028198242188,938.4009856429633,927.478182008248,929.3944592438022,516827,TATACHEM
2023-06-05,953.8749389648438,975.3372685141042,935.9577341822214,938.5926155184852,5155439,TATACHEM
2023-06-06,952.1503295898438,964.9414577952946,947.4075313464239,958.1386964426101,966295,TATACHEM
2023-06-07,953.1083984375,958.1386262251822,949.8028084809949,955.6953844243361,485131,TATACHEM
2023-06-08,961.2525634765625,972.5106921791288,955.3120923800315,957.180474371379,1389967,TATACHEM
2023-06-09,944.6768188476562,965.8995549735355,940.0777649984464,961.9712098790347,959079,TATACHEM
2023-06-12,946.4014892578125,950.329834487326,941.994074684205,948.5573013062358,601656,TATACHEM
2023-06-13,958.1865844726562,963.8875213696288,947.6470588910797,948.5573023418812,1236924,TATACHEM
2023-06-14,953.70068359375,957.5527509745232,934.1478569405278,949.7998679214174,3249390,TATACHEM
2023-06-15,934.7329711914062,946.727967681067,929.8569515190463,944.9726125033623,3592424,TATACHEM
2023-06-16,946.874267578125,948.6296227474841,932.2949569227394,935.220568712246,1397816,TATACHEM
2023-06-19,954.1882934570312,955.6998476382366,943.802347834722,948.2883216080992,1155057,TATACHEM
2023-06-20,959.113037109375,961.5510468630847,949.8973483360081,955.6998234541816,1267022,TATACHEM
2023-06-21,972.4733276367188,974.2286827282812,952.9205016144343,963.9402936288384,1757441,TATACHEM
2023-06-22,979.6410522460938,984.7608726500456,967.5973080569148,978.6171000696477,1685291,TATACHEM
2023-06-23,955.7485961914062,983.9807617658414,952.1891375729786,983.8832651818882,1289496,TATACHEM
2023-06-26,969.3038940429688,972.278253928476,945.9964978482319,957.6014476566681,962543,TATACHEM
2023-06-27,981.2989501953125,994.7080041731366,969.30395381404,969.30395381404,2034613,TATACHEM
2023-06-28,971.5469360351562,990.4659164903528,968.4262714880884,984.9559903593554,1118507,TATACHEM
2023-06-30,976.5692138671875,982.4691855856249,968.42622555081,977.1543124012536,892662,TATACHEM
2023-07-03,983.0542602539062,991.294744951998,976.1790847977866,979.1046964405372,817032,TATACHEM
2023-07-04,981.884033203125,1003.484823623337,979.9336253826715,985.5410478664753,2029338,TATACHEM
2023-07-05,982.3716430664062,991.2947827255023,978.6658800820575,984.9559572580004,612300,TATACHEM
2023-07-06,987.6865234375,992.7575957523677,979.7386471609648,984.3708658051925,566109,TATACHEM
2023-07-07,977.349365234375,1000.559206262833,970.815487168275,988.9542559877426,1235538,TATACHEM
2023-07-10,971.5956420898438,982.0303358146618,957.4064371261611,981.0551319062064,1102693,TATACHEM
2023-07-11,967.6460571289062,974.2286833678784,961.5510328335616,973.2534794806232,938584,TATACHEM
2023-07-12,959.0643310546875,973.4485892350399,957.650273430918,968.5725695128865,827540,TATACHEM
2023-07-13,952.7742309570312,965.9394838924661,947.313112807318,962.9163755456113,908833,TATACHEM
2023-07-14,959.113037109375,966.0369610012215,952.77421174973,954.7246195526977,935472,TATACHEM
2023-07-17,969.0114135742188,971.1080663208991,959.6006717951799,962.4287870146482,795781,TATACHEM
2023-07-18,973.107177734375,981.0551132458006,965.6956519797753,969.3526665669242,961824,TATACHEM
2023-07-19,973.0097045898438,979.8361319836087,968.3774860012176,971.3030977414026,520288,TATACHEM
2023-07-20,969.79150390625,976.9592285677854,965.8906884122506,976.9592285677854,565418,TATACHEM
2023-07-21,963.16015625,969.3526772102092,954.3345133320663,968.2311689158144,628105,TATACHEM
2023-07-24,965.9395141601562,972.2783398462149,962.5263003292016,965.4519121843056,591437,TATACHEM
2023-07-25,952.8717041015625,970.3278776693277,950.8237997262256,969.8402757207501,1065233,TATACHEM
2023-07-26,973.4485473632812,977.1543102883736,952.8717093078478,952.8717093078478,1543349,TATACHEM
2023-07-27,969.0114135742188,981.0551583597062,961.6973840635848,978.3245992467478,1019601,TATACHEM
2023-07-28,1024.988037109375,1027.8160329925809,972.7170759058619,974.2286299438736,5379672,TATACHEM
2023-07-31,1033.082275390625,1045.2236359326923,1024.9881540726972,1034.0087905645023,1732206,TATACHEM
2023-08-01,1046.2962646484375,1056.7308985269924,1033.228508872881,1037.8119194826893,1489507,TATACHEM
2023-08-02,1015.577392578125,1033.6673539835072,1001.5832400455035,1033.6673539835072,1742065,TATACHEM
2023-08-03,1013.7244262695312,1020.8921509294154,1004.5087972844576,1014.2120282061688,643369,TATACHEM
2023-08-04,1021.477294921875,1032.545954611089,1016.4550899856675,1020.5508988183961,905449,TATACHEM
2023-08-07,1013.4318237304688,1035.6665197954312,1009.4335116341089,1028.8889004518117,704409,TATACHEM
2023-08-08,985.2972412109375,1006.3616217417584,977.4468616831962,984.9559436530142,2803220,TATACHEM
2023-08-09,985.1510009765625,989.0518166133561,962.9163637511837,983.9807443811799,2504277,TATACHEM
2023-08-10,983.0542602539062,990.7096464321364,978.9583920497112,986.9063274878722,694086,TATACHEM
2023-08-11,980.7625732421875,991.8311136884299,977.1543069111253,983.9807342049156,821837,TATACHEM
2023-08-14,976.81298828125,982.0303052202561,963.6964842168139,981.0551013421823,650309,TATACHEM
2023-08-16,966.134521484375,975.5940112759976,963.9890609870396,974.716303951994,556999,TATACHEM
2023-08-17,966.8171997070312,975.2039296937074,963.9890845022297,967.9873968052842,704109,TATACHEM
2023-08-18,973.7410888671875,977.15430249867,957.6502246044848,968.0849181822183,694939,TATACHEM
2023-08-21,976.2278442382812,981.0551154083028,971.4981291704986,973.741086217883,583175,TATACHEM
2023-08-22,979.1046752929688,983.0054907323829,975.2038598535545,982.0302868725294,426545,TATACHEM
2023-08-23,979.7385864257812,990.6608220924458,978.6170781727498,983.9806994283053,633794,TATACHEM
2023-08-24,990.4658813476562,992.1724882010932,979.2510363107851,985.0047037036242,575632,TATACHEM
2023-08-25,986.1749877929688,995.6832262414052,975.2039434293881,991.7824104676877,1015895,TATACHEM
2023-08-28,1010.0674438476562,1015.1872643450737,980.8113267195561,989.8319628340537,1955741,TATACHEM
2023-08-29,1040.445068359375,1050.2946039751512,1014.2120595488925,1015.1872634523048,3555138,TATACHEM
2023-08-30,1033.423583984375,1053.0739674955994,1030.5467799331464,1050.245852216073,907511,TATACHEM
2023-08-31,1035.130126953125,1045.4185756649667,1026.4995962892067,1037.226839136515,628121,TATACHEM
2023-09-01,1044.589599609375,1049.319314345834,1035.4714676660792,1038.592072284678,591330,TATACHEM
2023-09-04,1062.728515625,1070.7739482966276,1043.955839391202,1048.4905616148098,1378530,TATACHEM
2023-09-05,1076.3812255859375,1083.3051489588224,1065.0688849852959,1069.1160046818034,1233591,TATACHEM
2023-09-06,1063.0697021484375,1079.5506711627722,1051.4647524257143,1078.5754673044498,642702,TATACHEM
2023-09-07,1059.2177734375,1069.0185015177326,1051.4648307601774,1067.8483044179416,665262,TATACHEM
2023-09-08,1058.388916015625,1067.165751743612,1054.7805899013806,1059.266504353661,473019,TATACHEM
2023-09-11,1058.973876953125,1070.77381964508,1053.3176470461858,1059.0713735287402,511237,TATACHEM
2023-09-12,1020.1608276367188,1063.8500121862799,1017.137719202334,1058.9739924393848,868126,TATACHEM
2023-09-13,1026.792236328125,1036.6905799744748,1012.3104818521592,1023.9641211372469,745777,TATACHEM
2023-09-14,1047.9053955078125,1050.4409018322167,1031.0831282786376,1032.7409272867435,610424,TATACHEM
2023-09-15,1043.906982421875,1054.6830332920294,1036.9830584391882,1050.2946156777768,646144,TATACHEM
2023-09-18,1031.6683349609375,1044.5409801379678,1029.9617279616782,1043.5170873644865,337323,TATACHEM
2023-09-20,1021.8186645507812,1029.961593072112,1013.5294316399835,1029.961593072112,591699,TATACHEM
2023-09-21,1009.1410522460938,1024.4028981810698,1004.5575224495634,1021.8187030580123,618526,TATACHEM
2023-09-22,1010.1162719726562,1013.7732866872076,996.7071584975774,1013.2368769116943,486756,TATACHEM
2023-09-25,1019.3807373046875,1022.355037928312,1008.3608850441744,1016.1625166499321,612625,TATACHEM
2023-09-26,1011.2376098632812,1023.4276582923359,1009.3848177368183,1019.3806574486431,268848,TATACHEM
2023-09-27,1017.6253051757812,1023.9641307470727,1010.2137790857303,1016.1136914606321,461560,TATACHEM
2023-09-28,990.9534912109375,1023.7203192496283,986.6138218446629,1010.3112652942272,622778,TATACHEM
2023-09-29,1005.6302490234375,1012.9442785277104,993.5377559560744,995.6344682226558,340818,TATACHEM
2023-10-03,999.6815185546875,1007.3368455484099,996.7071584912162,1007.3368455484099,227220,TATACHEM
2023-10-04,986.1749877929688,999.4377376149183,975.2039434293881,999.4377376149183,457424,TATACHEM
2023-10-05,984.2733154296875,999.5840290472438,981.0551543624657,993.635308878189,286411,TATACHEM
2023-10-06,987.6377563476562,989.6369124517173,980.3724753395941,986.9063534177518,348344,TATACHEM
2023-10-09,979.446044921875,985.9311748758909,971.6444134688511,980.079951286123,405937,TATACHEM
2023-10-10,991.5872802734375,997.6335561544754,983.0054981463452,983.0054981463452,366136,TATACHEM
2023-10-11,1010.4087524414062,1036.641761561482,1007.3856441138391,1016.162479348132,2758083,TATACHEM
2023-10-12,1013.0905151367188,1017.1376350002979,1004.4599847078684,1017.088827189489,465767,TATACHEM
2023-10-13,1009.4335327148438,1019.624484892211,1001.5344049364005,1010.2624322208538,409241,TATACHEM
2023-10-16,1015.0408935546875,1023.964032503765,1006.410363375129,1009.2384783212078,583658,TATACHEM
2023-10-17,1019.3807373046875,1024.9393522064095,1016.1625166499321,1019.1369363170076,536501,TATACHEM
2023-10-18,1018.3566284179688,1024.6466456828489,1006.7029899356609,1021.0384390266826,976236,TATACHEM
2023-10-19,1005.6790161132812,1018.1128657670455,994.3666747467807,1018.1128657670455,734831,TATACHEM
2023-10-20,986.61376953125,1008.5071083691951,984.9559110439606,999.5839691287719,588202,TATACHEM
2023-10-23,954.237060546875,991.9287168442077,950.8725950309953,988.8568006075946,825192,TATACHEM
2023-10-25,939.7064819335938,967.4022973187476,938.1461794562855,955.6998501737628,729081,TATACHEM
2023-10-26,917.3743286132812,939.1213638680833,911.8156544305898,938.1461599596014,1061128,TATACHEM
2023-10-27,932.0511474609375,935.9519631447919,923.5668614442097,928.1990800687867,404416,TATACHEM
2023-10-30,926.9312744140625,937.1709150046439,924.9808666825231,931.3196918100259,406988,TATACHEM
2023-10-31,935.4156494140625,940.8280194823809,928.3941690046402,934.1966444652644,432972,TATACHEM
2023-11-01,926.7850341796875,936.195775944486,925.4685326784553,934.7329700445727,363571,TATACHEM
2023-11-02,935.269287109375,936.6345963761935,929.6131164014682,932.2949271227942,230632,TATACHEM
2023-11-03,934.8304443359375,941.0230248775947,933.1238374934035,940.0478209675753,280436,TATACHEM
2023-11-06,949.2146606445312,954.6270897266586,941.0717321594049,941.0717321594049,400869,TATACHEM
2023-11-07,939.8040161132812,951.7502639617397,937.1709536627459,951.7502639617397,547913,TATACHEM
2023-11-08,934.6841430664062,944.5824264428367,930.4907784106824,936.3907498059687,910691,TATACHEM
2023-11-09,935.3179931640625,939.9990192836478,931.7097865193183,937.1709042965416,462572,TATACHEM
2023-11-10,940.0477905273438,943.314699711432,928.9791907940081,934.2453155462769,436075,TATACHEM
2023-11-13,923.1768188476562,939.1213792030053,921.7627612529227,930.2470472996,1293837,TATACHEM
2023-11-15,926.0048828125,931.8561064113638,924.5908252050964,931.3197561524795,463515,TATACHEM
2023-11-16,930.53955078125,933.8552082480346,924.7858241017026,927.9064884105806,510001,TATACHEM
2023-11-17,939.5114135742188,945.0700279058401,927.955212230378,927.955212230378,824095,TATACHEM
2023-11-20,932.00244140625,943.8999416855281,929.369378795977,939.8040731275174,390897,TATACHEM
2023-11-21,937.4635009765625,946.922990749361,933.2701360938604,933.2701360938604,385963,TATACHEM
2023-11-22,936.6345825195312,943.509757999056,927.4676421990172,940.0965444042274,456965,TATACHEM
2023-11-23,941.7056884765625,947.3131110125126,936.1957625238524,936.6346161918802,722824,TATACHEM
2023-11-24,936.7808227539062,944.8750625703979,934.2453164761251,943.0221513908277,410255,TATACHEM
2023-11-28,944.5337524414062,947.8494696048795,934.8304614546804,936.7808693104354,542859,TATACHEM
2023-11-29,948.4345092773438,949.848566789331,943.0708880069727,945.8990030309474,458992,TATACHEM
2023-11-30,946.3865966796875,948.824606326695,938.1461121684584,947.6056015031912,810025,TATACHEM
2023-12-01,945.8990478515625,956.3824899222183,942.0957287800306,946.2403454126155,603363,TATACHEM
2023-12-04,948.9221801757812,954.7246555125056,946.9230240067855,954.7246555125056,599063,TATACHEM
2023-12-05,958.8204956054688,960.6733473202545,949.3610057801509,950.823811644219,1291543,TATACHEM
2023-12-06,986.8088989257812,1004.3625699921985,970.3279283936215,970.3279283936215,4017068,TATACHEM
2023-12-07,993.0014038085938,999.8278313329347,983.1030600896097,994.5129579989244,796187,TATACHEM
2023-12-08,972.1319580078125,1001.7781795866986,965.4518352794662,999.2426733229358,1179751,TATACHEM
2023-12-11,992.8063354492188,1000.7542116569465,974.7163146995596,980.0311879496898,1163115,TATACHEM
2023-12-12,980.8113403320312,999.5840157497709,976.5692270982704,998.7063084150573,942123,TATACHEM
2023-12-13,981.7864990234375,989.8319309747097,976.3741294332895,986.7112666771449,592127,TATACHEM
2023-12-14,983.3956909179688,994.0253783024057,981.2502303150512,985.9311973894095,1124981,TATACHEM
2023-12-15,1004.4600219726562,1018.9905839632798,987.1501526619625,999.3402014723101,2655928,TATACHEM
2023-12-18,1008.5558471679688,1016.9913848906915,1001.5344265563257,1009.0434491283174,896701,TATACHEM
2023-12-19,1007.6294555664062,1015.1872859856074,995.7807040682593,1014.2120820605492,608182,TATACHEM
2023-12-20,964.0865478515625,1023.8665942983691,960.5758376343795,1007.8732265940419,1651350,TATACHEM
2023-12-21,984.6146240234375,986.9063293392027,955.6998050913228,964.0865346742519,813289,TATACHEM
2023-12-22,996.7071533203125,1015.1872794861976,987.3939677999759,990.8071815158278,1179769,TATACHEM
2023-12-26,1067.116943359375,1074.6747741211161,995.3907033248745,1001.5344764268477,7243281,TATACHEM
2023-12-27,1062.8260498046875,1075.5037017356633,1050.4410066895014,1072.7243941594868,1984857,TATACHEM
2023-12-28,1059.6566162109375,1067.848353415694,1052.2938976203081,1067.5557446055957,1387134,TATACHEM
2023-12-29,1076.72265625,1095.1540346942388,1056.68228652472,1064.922712276143,2522155,TATACHEM
2024-01-01,1090.131591796875,1106.7588649329466,1078.8192510297927,1085.4018769682796,1851611,TATACHEM
2024-01-02,1094.52001953125,1111.2447894024672,1073.6994410988298,1090.1804100070362,1578917,TATACHEM
2024-01-03,1085.0606689453125,1101.541639055902,1069.7987037387097,1094.4714106127792,1404894,TATACHEM
2024-01-04,1103.4920654296875,1109.7332754081299,1085.4019847334173,1089.3516083060267,867201,TATACHEM
2024-01-05,1077.3077392578125,1112.7076897117718,1067.1169057555708,1111.6836779627554,1608206,TATACHEM
2024-01-08,1071.7978515625,1083.2564969347352,1055.3168824950224,1081.501082366719,1206551,TATACHEM
2024-01-09,1076.771484375,1090.2780355143177,1069.9937453757398,1074.6747720364742,920494,TATACHEM
2024-01-10,1070.1400146484375,1081.0623701504353,1061.021881661598,1077.6491563767077,389257,TATACHEM
2024-01-11,1077.4539794921875,1086.3771187737482,1068.8234489910485,1068.8234489910485,572512,TATACHEM
2024-01-12,1084.6217041015625,1096.958056951111,1069.5060440119712,1082.476303190094,1080170,TATACHEM
2024-01-15,1084.6217041015625,1097.1043613413115,1079.6969959500511,1091.155641501838,575875,TATACHEM
2024-01-16,1075.1134033203125,1089.9852615694845,1062.4357536652806,1084.6216405615864,603729,TATACHEM
2024-01-17,1056.7796630859375,1077.5514334137674,1053.1713374584947,1070.725006546291,612371,TATACHEM
2024-01-18,1039.8111572265625,1065.410259573289,1022.0136860712192,1053.2202108367526,785453,TATACHEM
2024-01-19,1048.5880126953125,1069.6523935127275,1043.6144965228384,1048.295403902571,998025,TATACHEM
2024-01-23,979.0559692382812,1041.517767251999,975.252650212099,1033.7649438491023,1148896,TATACHEM
2024-01-24,992.6112670898438,997.6335909900271,973.7898436998505,983.9319880816541,808345,TATACHEM
2024-01-25,980.7138671875,1000.5592435804297,976.2766416380625,996.6584278159835,713684,TATACHEM
2024-01-29,988.02783203125,992.7575470271605,981.445205859901,985.1022203995393,626512,TATACHEM
2024-01-30,980.8113403320312,1002.4121309200938,978.1295295580685,988.0278731324752,709805,TATACHEM
2024-01-31,1002.5584106445312,1006.9955169352817,982.0303210625395,985.053429324649,941821,TATACHEM
2024-02-01,989.7344970703125,1010.2624684683215,986.9063818511796,1009.3360723477973,722085,TATACHEM
